Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2016,2016
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2016,2016
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2016,2016
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2017,2017
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2017,2017
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2017,2017
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2018,2018
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2018,2018
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2018,2018
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2019,2019
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2019,2019
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2019,2019
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2020,2020
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2020,2020
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2020,2020
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2021,2021
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2021,2021
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2021,2021
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2022,2022
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2022,2022
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2022,2022
QCL,Crops and livestock products,20,Botswana,5312,Area harvested,446,Green corn (maize),2023,2023
QCL,Crops and livestock products,20,Botswana,5412,Yield,446,Green corn (maize),2023,2023
QCL,Crops and livestock products,20,Botswana,5510,Production,446,Green corn (maize),2023,2023
